"o1","bY","birthYear","import_metadata"
"http://dbpedia.org/resource/Pêro_de_Ataíde","http://dbpedia.org/ontology/birthYear",,"20221204_1"
"http://dbpedia.org/resource/William_Spencer_Anderson","http://dbpedia.org/ontology/birthYear",,"20221204_1"
"http://dbpedia.org/resource/James_Hingston_Tuckey","http://dbpedia.org/ontology/birthYear",,"20221204_1"
"http://dbpedia.org/resource/John_Ledyard","http://dbpedia.org/ontology/birthYear",,"20221204_1"
"http://dbpedia.org/resource/Paulo_Dias_de_Novais","http://dbpedia.org/ontology/birthYear",,"20221204_1"
"http://dbpedia.org/resource/Hendrik_Coetzee","http://dbpedia.org/ontology/birthYear",,"20221204_1"
"http://dbpedia.org/resource/Pêro_da_Covilhã","http://dbpedia.org/ontology/birthYear",,"20221204_1"
"http://dbpedia.org/resource/Nicolau_Coelho","http://dbpedia.org/ontology/birthYear",,"20221204_1"
"http://dbpedia.org/resource/Paul_Du_Chaillu","http://dbpedia.org/ontology/birthYear",,"20221204_1"
"http://dbpedia.org/resource/Diogo_Fernandes_Pereira","http://dbpedia.org/ontology/birthYear",15,"20221204_1"
"http://dbpedia.org/resource/Zheng_He","http://dbpedia.org/ontology/birthYear",1371,"20221204_1"
"http://dbpedia.org/resource/Vasco_da_Gama","http://dbpedia.org/ontology/birthYear",1460,"20221204_1"
"http://dbpedia.org/resource/Duarte_Pacheco_Pereira","http://dbpedia.org/ontology/birthYear",1460,"20221204_1"
"http://dbpedia.org/resource/Francisco_Barreto","http://dbpedia.org/ontology/birthYear",1520,"20221204_1"
"http://dbpedia.org/resource/Pedro_Páez","http://dbpedia.org/ontology/birthYear",1564,"20221204_1"
"http://dbpedia.org/resource/Jerónimo_Lobo","http://dbpedia.org/ontology/birthYear",1595,"20221204_1"
"http://dbpedia.org/resource/James_Bruce","http://dbpedia.org/ontology/birthYear",1730,"20221204_1"
"http://dbpedia.org/resource/Robert_Jacob_Gordon","http://dbpedia.org/ontology/birthYear",1743,"20221204_1"
"http://dbpedia.org/resource/François_Levaillant","http://dbpedia.org/ontology/birthYear",1753,"20221204_1"
"http://dbpedia.org/resource/William_Paterson_(explorer)","http://dbpedia.org/ontology/birthYear",1755,"20221204_1"
"http://dbpedia.org/resource/Sir_John_Barrow,_1st_Baronet","http://dbpedia.org/ontology/birthYear",1764,"20221204_1"
"http://dbpedia.org/resource/Mungo_Park_(explorer)","http://dbpedia.org/ontology/birthYear",1771,"20221204_1"
"http://dbpedia.org/resource/William_Fitzwilliam_Owen","http://dbpedia.org/ontology/birthYear",1774,"20221204_1"
"http://dbpedia.org/resource/Bernardino_Drovetti","http://dbpedia.org/ontology/birthYear",1776,"20221204_1"
"http://dbpedia.org/resource/Giovanni_Belzoni","http://dbpedia.org/ontology/birthYear",1778,"20221204_1"
"http://dbpedia.org/resource/Johann_Ludwig_Burckhardt","http://dbpedia.org/ontology/birthYear",1784,"20221204_1"
"http://dbpedia.org/resource/Heinrich_Röntgen","http://dbpedia.org/ontology/birthYear",1787,"20221204_1"
"http://dbpedia.org/resource/Hugh_Clapperton","http://dbpedia.org/ontology/birthYear",1788,"20221204_1"
"http://dbpedia.org/resource/Alexander_Gordon_Laing","http://dbpedia.org/ontology/birthYear",1794,"20221204_1"
"http://dbpedia.org/resource/Eduard_Rüppell","http://dbpedia.org/ontology/birthYear",1794,"20221204_1"
"http://dbpedia.org/resource/Wilhelm_Hemprich","http://dbpedia.org/ontology/birthYear",1796,"20221204_1"
"http://dbpedia.org/resource/Andrew_Geddes_Bain","http://dbpedia.org/ontology/birthYear",1797,"20221204_1"
"http://dbpedia.org/resource/René_Caillié","http://dbpedia.org/ontology/birthYear",1799,"20221204_1"
"http://dbpedia.org/resource/Richard_Lander","http://dbpedia.org/ontology/birthYear",1804,"20221204_1"
"http://dbpedia.org/resource/John_Lander_(explorer)","http://dbpedia.org/ontology/birthYear",1806,"20221204_1"
"http://dbpedia.org/resource/Giovanni_Miani","http://dbpedia.org/ontology/birthYear",1810,"20221204_1"
"http://dbpedia.org/resource/David_Livingstone","http://dbpedia.org/ontology/birthYear",1813,"20221204_1"
"http://dbpedia.org/resource/Eugène_Maizan","http://dbpedia.org/ontology/birthYear",1816,"20221204_1"
"http://dbpedia.org/resource/António_da_Silva_Porto","http://dbpedia.org/ontology/birthYear",1817,"20221204_1"
"http://dbpedia.org/resource/Thomas_Baines","http://dbpedia.org/ontology/birthYear",1820,"20221204_1"
"http://dbpedia.org/resource/Andrea_Debono","http://dbpedia.org/ontology/birthYear",1821,"20221204_1"
"http://dbpedia.org/resource/Samuel_Baker","http://dbpedia.org/ontology/birthYear",1821,"20221204_1"
"http://dbpedia.org/resource/Richard_Francis_Burton","http://dbpedia.org/ontology/birthYear",1821,"20221204_1"
"http://dbpedia.org/resource/Stanislas_d'Escayrac_de_Lauture","http://dbpedia.org/ontology/birthYear",1826,"20221204_1"
"http://dbpedia.org/resource/James_Augustus_Grant","http://dbpedia.org/ontology/birthYear",1827,"20221204_1"
"http://dbpedia.org/resource/Charles_John_Andersson","http://dbpedia.org/ontology/birthYear",1827,"20221204_1"
"http://dbpedia.org/resource/John_Hanning_Speke","http://dbpedia.org/ontology/birthYear",1827,"20221204_1"
"http://dbpedia.org/resource/Ludovic_de_Polignac","http://dbpedia.org/ontology/birthYear",1828,"20221204_1"
"http://dbpedia.org/resource/Frederick_Thomas_Green","http://dbpedia.org/ontology/birthYear",1829,"20221204_1"
"http://dbpedia.org/resource/Marie-Théophile_Griffon_du_Bellay","http://dbpedia.org/ontology/birthYear",1829,"20221204_1"
"http://dbpedia.org/resource/Paul_Du_Chaillu","http://dbpedia.org/ontology/birthYear",1831,"20221204_1"
"http://dbpedia.org/resource/Gustav_Nachtigal","http://dbpedia.org/ontology/birthYear",1834,"20221204_1"
"http://dbpedia.org/resource/Alexine_Tinne","http://dbpedia.org/ontology/birthYear",1835,"20221204_1"
"http://dbpedia.org/resource/Justin_Pouyanne","http://dbpedia.org/ontology/birthYear",1835,"20221204_1"
"http://dbpedia.org/resource/Karl_Mauch","http://dbpedia.org/ontology/birthYear",1837,"20221204_1"
"http://dbpedia.org/resource/Alexander_Ross_(missionary)","http://dbpedia.org/ontology/birthYear",1838,"20221204_1"
"http://dbpedia.org/resource/Gaetano_Casati","http://dbpedia.org/ontology/birthYear",1838,"20221204_1"
"http://dbpedia.org/resource/Henry_Morton_Stanley","http://dbpedia.org/ontology/birthYear",1841,"20221204_1"
"http://dbpedia.org/resource/Florence_Baker","http://dbpedia.org/ontology/birthYear",1841,"20221204_1"
"http://dbpedia.org/resource/Hermenegildo_Capelo","http://dbpedia.org/ontology/birthYear",1841,"20221204_1"
"http://dbpedia.org/resource/Paul_Soleillet","http://dbpedia.org/ontology/birthYear",1842,"20221204_1"
"http://dbpedia.org/resource/Gaston_Méry_(explorer)","http://dbpedia.org/ontology/birthYear",1844,"20221204_1"
"http://dbpedia.org/resource/Victor_de_Compiègne","http://dbpedia.org/ontology/birthYear",1846,"20221204_1"
"http://dbpedia.org/resource/Alexandre_de_Serpa_Pinto","http://dbpedia.org/ontology/birthYear",1846,"20221204_1"
"http://dbpedia.org/resource/Émile_Storms","http://dbpedia.org/ontology/birthYear",1846,"20221204_1"
"http://dbpedia.org/resource/Emil_Holub","http://dbpedia.org/ontology/birthYear",1847,"20221204_1"
"http://dbpedia.org/resource/George_Grenfell","http://dbpedia.org/ontology/birthYear",1849,"20221204_1"
"http://dbpedia.org/resource/Charles-Marie_de_Braconnier","http://dbpedia.org/ontology/birthYear",1849,"20221204_1"
"http://dbpedia.org/resource/Daniël_David_Veth","http://dbpedia.org/ontology/birthYear",1850,"20221204_1"
"http://dbpedia.org/resource/Arthur_Henry_Neumann","http://dbpedia.org/ontology/birthYear",1850,"20221204_1"
"http://dbpedia.org/resource/Roberto_Ivens","http://dbpedia.org/ontology/birthYear",1850,"20221204_1"
"http://dbpedia.org/resource/Pellegrino_Matteucci","http://dbpedia.org/ontology/birthYear",1850,"20221204_1"
"http://dbpedia.org/resource/Jérôme_Becker","http://dbpedia.org/ontology/birthYear",1850,"20221204_1"
"http://dbpedia.org/resource/Ludwig_Wolf","http://dbpedia.org/ontology/birthYear",1850,"20221204_1"
"http://dbpedia.org/resource/Frederick_Selous","http://dbpedia.org/ontology/birthYear",1851,"20221204_1"
"http://dbpedia.org/resource/Anatole-Joseph_Toulotte","http://dbpedia.org/ontology/birthYear",1852,"20221204_1"
"http://dbpedia.org/resource/Pierre_Savorgnan_de_Brazza","http://dbpedia.org/ontology/birthYear",1852,"20221204_1"
"http://dbpedia.org/resource/Thomas_J._Comber","http://dbpedia.org/ontology/birthYear",1852,"20221204_1"
"http://dbpedia.org/resource/Antoine_Bernard_d'Attanoux","http://dbpedia.org/ontology/birthYear",1853,"20221204_1"
"http://dbpedia.org/resource/Robert_William_Felkin","http://dbpedia.org/ontology/birthYear",1853,"20221204_1"
"http://dbpedia.org/resource/Alexandre_Delcommune","http://dbpedia.org/ontology/birthYear",1855,"20221204_1"
"http://dbpedia.org/resource/Alfred_Le_Chatelier","http://dbpedia.org/ontology/birthYear",1855,"20221204_1"
"http://dbpedia.org/resource/Luigi_Robecchi_Bricchetti","http://dbpedia.org/ontology/birthYear",1855,"20221204_1"
"http://dbpedia.org/resource/Leopold_Janikowski","http://dbpedia.org/ontology/birthYear",1855,"20221204_1"
"http://dbpedia.org/resource/Louis-Gustave_Binger","http://dbpedia.org/ontology/birthYear",1856,"20221204_1"
"http://dbpedia.org/resource/Ferdinand_de_Béhagle","http://dbpedia.org/ontology/birthYear",1857,"20221204_1"
"http://dbpedia.org/resource/Ludwig_von_Höhnel","http://dbpedia.org/ontology/birthYear",1857,"20221204_1"
"http://dbpedia.org/resource/Frederick_Lugard,_1st_Baron_Lugard","http://dbpedia.org/ontology/birthYear",1858,"20221204_1"
"http://dbpedia.org/resource/Joseph_Thomson_(explorer)","http://dbpedia.org/ontology/birthYear",1858,"20221204_1"
"http://dbpedia.org/resource/Charles_de_Foucauld","http://dbpedia.org/ontology/birthYear",1858,"20221204_1"
"http://dbpedia.org/resource/Jacques_Savorgnan_de_Brazza","http://dbpedia.org/ontology/birthYear",1859,"20221204_1"
"http://dbpedia.org/resource/Leonid_Artamonov","http://dbpedia.org/ontology/birthYear",1859,"20221204_1"
"http://dbpedia.org/resource/Edmund_Musgrave_Barttelot","http://dbpedia.org/ontology/birthYear",1859,"20221204_1"
"http://dbpedia.org/resource/Christian_de_Bonchamps","http://dbpedia.org/ontology/birthYear",1860,"20221204_1"
"http://dbpedia.org/resource/Paul_Costermans","http://dbpedia.org/ontology/birthYear",1860,"20221204_1"
"http://dbpedia.org/resource/Hans_Tappenbeck","http://dbpedia.org/ontology/birthYear",1861,"20221204_1"
"http://dbpedia.org/resource/Mary_Kingsley","http://dbpedia.org/ontology/birthYear",1862,"20221204_1"
"http://dbpedia.org/resource/William_Grant_Stairs","http://dbpedia.org/ontology/birthYear",1863,"20221204_1"
"http://dbpedia.org/resource/Dragutin_Lerman","http://dbpedia.org/ontology/birthYear",1863,"20221204_1"
"http://dbpedia.org/resource/Edward_James_Glave","http://dbpedia.org/ontology/birthYear",1863,"20221204_1"
"http://dbpedia.org/resource/Richard_Mohun","http://dbpedia.org/ontology/birthYear",1864,"20221204_1"
"http://dbpedia.org/resource/Paul_Bourdarie","http://dbpedia.org/ontology/birthYear",1864,"20221204_1"
"http://dbpedia.org/resource/Paul_Crampel","http://dbpedia.org/ontology/birthYear",1864,"20221204_1"
"http://dbpedia.org/resource/Eugenio_Ruspoli","http://dbpedia.org/ontology/birthYear",1866,"20221204_1"
"http://dbpedia.org/resource/William_A._Chanler","http://dbpedia.org/ontology/birthYear",1867,"20221204_1"
"http://dbpedia.org/resource/Kenyon_Painter","http://dbpedia.org/ontology/birthYear",1867,"20221204_1"
"http://dbpedia.org/resource/Richard_Kandt","http://dbpedia.org/ontology/birthYear",1867,"20221204_1"
"http://dbpedia.org/resource/Delia_Akeley","http://dbpedia.org/ontology/birthYear",1869,"20221204_1"
"http://dbpedia.org/resource/Charles_Gwynn","http://dbpedia.org/ontology/birthYear",1870,"20221204_1"
"http://dbpedia.org/resource/James_H._Sutherland","http://dbpedia.org/ontology/birthYear",1872,"20221204_1"
"http://dbpedia.org/resource/Boyd_Alexander","http://dbpedia.org/ontology/birthYear",1873,"20221204_1"
"http://dbpedia.org/resource/A._Kingsley_Macomber","http://dbpedia.org/ontology/birthYear",1874,"20221204_1"
"http://dbpedia.org/resource/Prince_Kamal_el_Dine_Hussein","http://dbpedia.org/ontology/birthYear",1874,"20221204_1"
"http://dbpedia.org/resource/Isabelle_Eberhardt","http://dbpedia.org/ontology/birthYear",1877,"20221204_1"
"http://dbpedia.org/resource/Stanley_Portal_Hyatt","http://dbpedia.org/ontology/birthYear",1877,"20221204_1"
"http://dbpedia.org/resource/P._C._%22Pete%22_Pearson","http://dbpedia.org/ontology/birthYear",1877,"20221204_1"
"http://dbpedia.org/resource/W._D._M._Bell","http://dbpedia.org/ontology/birthYear",1880,"20221204_1"
"http://dbpedia.org/resource/Thomas_Alexander_Barns","http://dbpedia.org/ontology/birthYear",1881,"20221204_1"
"http://dbpedia.org/resource/John_Arthur_(missionary)","http://dbpedia.org/ontology/birthYear",1881,"20221204_1"
"http://dbpedia.org/resource/Chaplin_Court_Treatt","http://dbpedia.org/ontology/birthYear",1888,"20221204_1"
"http://dbpedia.org/resource/Gaston_Gradis","http://dbpedia.org/ontology/birthYear",1889,"20221204_1"
"http://dbpedia.org/resource/László_Almásy","http://dbpedia.org/ontology/birthYear",1895,"20221204_1"
"http://dbpedia.org/resource/Théodore_Monod","http://dbpedia.org/ontology/birthYear",1902,"20221204_1"
"http://dbpedia.org/resource/Eva_Dickson","http://dbpedia.org/ontology/birthYear",1905,"20221204_1"
"http://dbpedia.org/resource/Wilfred_Thesiger","http://dbpedia.org/ontology/birthYear",1910,"20221204_1"
"http://dbpedia.org/resource/Otto_Schulz-Kampfhenkel","http://dbpedia.org/ontology/birthYear",1910,"20221204_1"
"http://dbpedia.org/resource/Alain_Gheerbrant","http://dbpedia.org/ontology/birthYear",1920,"20221204_1"
"http://dbpedia.org/resource/Alfonso_de_Urquijo","http://dbpedia.org/ontology/birthYear",1920,"20221204_1"
"http://dbpedia.org/resource/Sascha_Grabow","http://dbpedia.org/ontology/birthYear",1968,"20221204_1"
