"o1","property","str_label","import_metadata"
"http://dbpedia.org/resource/Pêro_de_Ataíde","http://www.w3.org/2000/01/rdf-schema#label","Pêro de Ataíde","20221204_3"
"http://dbpedia.org/resource/William_Spencer_Anderson","http://www.w3.org/2000/01/rdf-schema#label","William Spencer Anderson","20221204_3"
"http://dbpedia.org/resource/James_Hingston_Tuckey","http://www.w3.org/2000/01/rdf-schema#label","James Hingston Tuckey","20221204_3"
"http://dbpedia.org/resource/John_Ledyard","http://www.w3.org/2000/01/rdf-schema#label","John Ledyard","20221204_3"
"http://dbpedia.org/resource/Paulo_Dias_de_Novais","http://www.w3.org/2000/01/rdf-schema#label","Paulo Dias de Novais","20221204_3"
"http://dbpedia.org/resource/Hendrik_Coetzee","http://www.w3.org/2000/01/rdf-schema#label","Hendrik Coetzee","20221204_3"
"http://dbpedia.org/resource/Pêro_da_Covilhã","http://www.w3.org/2000/01/rdf-schema#label","Pêro da Covilhã","20221204_3"
"http://dbpedia.org/resource/Nicolau_Coelho","http://www.w3.org/2000/01/rdf-schema#label","Nicolau Coelho","20221204_3"
"http://dbpedia.org/resource/Diogo_Fernandes_Pereira","http://www.w3.org/2000/01/rdf-schema#label","Diogo Fernandes Pereira","20221204_3"
"http://dbpedia.org/resource/Zheng_He","http://www.w3.org/2000/01/rdf-schema#label","Zheng He","20221204_3"
"http://dbpedia.org/resource/Vasco_da_Gama","http://www.w3.org/2000/01/rdf-schema#label","Vasco da Gama","20221204_3"
"http://dbpedia.org/resource/Duarte_Pacheco_Pereira","http://www.w3.org/2000/01/rdf-schema#label","Duarte Pacheco Pereira","20221204_3"
"http://dbpedia.org/resource/Francisco_Barreto","http://www.w3.org/2000/01/rdf-schema#label","Francisco Barreto","20221204_3"
"http://dbpedia.org/resource/Pedro_Páez","http://www.w3.org/2000/01/rdf-schema#label","Pedro Páez","20221204_3"
"http://dbpedia.org/resource/Jerónimo_Lobo","http://www.w3.org/2000/01/rdf-schema#label","Jerónimo Lobo","20221204_3"
"http://dbpedia.org/resource/James_Bruce","http://www.w3.org/2000/01/rdf-schema#label","James Bruce","20221204_3"
"http://dbpedia.org/resource/Robert_Jacob_Gordon","http://www.w3.org/2000/01/rdf-schema#label","Robert Jacob Gordon","20221204_3"
"http://dbpedia.org/resource/François_Levaillant","http://www.w3.org/2000/01/rdf-schema#label","François Levaillant","20221204_3"
"http://dbpedia.org/resource/William_Paterson_(explorer)","http://www.w3.org/2000/01/rdf-schema#label","William Paterson (explorer)","20221204_3"
