"o1","property","target","import_metadata"
"http://dbpedia.org/resource/Anatole-Joseph_Toulotte","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Anatole-Joseph_Toulotte","20221204_4"
"http://dbpedia.org/resource/Andrea_Debono","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Andrea_Debono","20221204_4"
"http://dbpedia.org/resource/David_Livingstone","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/David_Livingstone","20221204_4"
"http://dbpedia.org/resource/Victor_de_Compiègne","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Victor_de_Compiègne","20221204_4"
"http://dbpedia.org/resource/Delia_Akeley","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Delia_Akeley","20221204_4"
"http://dbpedia.org/resource/Alain_Gheerbrant","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Alain_Gheerbrant","20221204_4"
"http://dbpedia.org/resource/Vasco_da_Gama","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Vasco_de_Gama","20221204_4"
"http://dbpedia.org/resource/Alexander_Gordon_Laing","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Alexander_Gordon_Laing","20221204_4"
"http://dbpedia.org/resource/Alexandre_Delcommune","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Alexandre_Delcommune","20221204_4"
"http://dbpedia.org/resource/Alexandre_de_Serpa_Pinto","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Alexandre_de_Serpa_Pinto","20221204_4"
"http://dbpedia.org/resource/Alexine_Tinne","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Alexine_Tinne","20221204_4"
"http://dbpedia.org/resource/Alfred_Le_Chatelier","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Alfred_Le_Chatelier","20221204_4"
"http://dbpedia.org/resource/Bernardino_Drovetti","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Bernardino_Drovetti","20221204_4"
