"subject_uri","property_uri","object_uri","label","import_metadata"
"http://dbpedia.org/resource/Pêro_da_Covilhã","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Diplomat","Diplomat","20221211_1"
"http://dbpedia.org/resource/Nicolau_Coelho","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Navigator","Navigator","20221211_1"
"http://dbpedia.org/resource/John_Ledyard","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Exploration","Exploration","20221211_1"
"http://dbpedia.org/resource/Pêro_da_Covilhã","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Exploration","Exploration","20221211_1"
"http://dbpedia.org/resource/Nicolau_Coelho","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Exploration","Exploration","20221211_1"
"http://dbpedia.org/resource/Nicolau_Coelho","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Explorer","Explorer","20221211_1"
"http://dbpedia.org/resource/Zheng_He","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Foreign_relations_of_imperial_China","Foreign relations of imperial China","20221211_1"
"http://dbpedia.org/resource/Zheng_He","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/List_of_explorers","List of explorers","20221211_1"
"http://dbpedia.org/resource/Vasco_da_Gama","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/List_of_governors_of_Portuguese_India","List of governors of Portuguese India","20221211_1"
"http://dbpedia.org/resource/Pedro_Páez","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Missionary","Missionary","20221211_1"
"http://dbpedia.org/resource/Pedro_Páez","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Historian","Historian","20221211_1"
"http://dbpedia.org/resource/Pedro_Páez","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Jesuit","Jesuit","20221211_1"
"http://dbpedia.org/resource/James_Bruce","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Travel_literature","Travel literature","20221211_1"
"http://dbpedia.org/resource/Robert_Jacob_Gordon","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Natural_history","Natural history","20221211_1"
"http://dbpedia.org/resource/Robert_Jacob_Gordon","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Linguistics","Linguistics","20221211_1"
"http://dbpedia.org/resource/François_Levaillant","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Ornithology","Ornithology","20221211_1"
"http://dbpedia.org/resource/Sir_John_Barrow,_1st_Baronet","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Geographer","Geographer","20221211_1"
"http://dbpedia.org/resource/Sir_John_Barrow,_1st_Baronet","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Linguistics","Linguistics","20221211_1"
